Applicant_ID,Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount_Requested,Default
9,26,69316,589,4,19590,Yes
36,32,78246,685,6,14204,No
34,28,66797,613,2,9829,Yes
42,30,59211,605,6,10374,Yes
25,48,77172,576,12,19030,No
18,31,62350,624,5,17893,Yes
34,38,82131,683,16,18917,No
21,47,89184,694,15,21363,No
29,41,90000,619,4,16330,No
18,23,74088,584,1,5000,Yes
39,23,73697,623,2,5000,Yes
12,44,90000,641,9,21920,No
11,28,77804,703,15,6967,No
33,26,67325,563,2,7170,Yes
34,31,90000,634,12,15140,No
16,27,65748,560,13,12108,Yes
27,22,82593,585,3,5000,Yes
33,24,71760,588,4,11139,Yes
32,45,81810,724,16,24032,No
4,25,72928,560,4,8357,Yes
27,22,46178,582,2,5959,Yes
31,27,53367,573,4,8193,Yes
27,28,64475,596,3,5000,Yes
1,42,83596,602,9,15160,No
35,25,62098,563,1,8652,Yes
25,48,90000,720,12,18253,No
36,40,90000,724,16,26982,No
36,30,50983,560,6,8232,Yes
15,26,39744,616,2,6316,Yes
32,39,86528,688,11,20787,No
25,31,69873,560,1,5000,Yes
8,44,90000,685,13,10662,No
25,32,85270,635,7,14174,Yes
33,26,50569,577,2,5666,Yes
5,37,90000,715,10,17130,No
30,22,62128,574,4,7399,Yes
9,21,70120,560,1,5000,Yes
7,48,90000,684,7,21663,No
43,26,81069,588,5,5000,Yes
40,32,77473,693,2,16002,No
28,29,59388,564,3,15951,Yes
38,30,88122,625,10,11181,No
41,21,39660,593,9,5624,Yes
11,37,90000,646,9,12536,No
30,25,73576,591,2,5000,Yes
27,35,66227,586,5,12096,Yes
38,24,73970,577,1,9417,Yes
33,31,87162,597,6,10375,Yes
17,34,90000,671,14,17568,No
36,28,70140,600,1,5000,Yes
29,33,78669,607,4,6285,Yes
17,23,70485,560,5,6313,Yes
28,39,90000,685,11,18176,No
8,32,90000,583,10,15922,No
3,23,90000,562,2,5000,Yes
10,29,83655,579,7,7281,Yes
25,38,90000,693,12,19428,No
7,26,55300,641,1,5000,Yes
3,43,90000,730,12,28905,No
29,41,90000,696,13,26705,No
10,40,80414,646,11,13226,No
7,27,90000,713,6,16761,No
35,23,77177,568,2,7033,Yes
38,23,70288,582,2,5000,Yes
36,25,87371,570,1,5000,Yes
4,32,90000,697,16,21369,No
9,40,90000,714,13,11898,No
22,24,59605,560,4,5000,Yes
3,32,63253,639,3,12944,Yes
25,48,90000,696,13,25515,No
30,32,67257,686,8,19096,No
46,21,70501,593,3,9295,Yes
24,22,45678,583,3,8967,Yes
10,21,80631,561,4,15484,Yes
13,23,39643,600,3,7355,Yes
36,30,72910,560,12,7131,Yes
34,36,80381,703,8,14882,No
15,27,83425,565,2,12365,Yes
30,28,79060,612,2,8847,Yes
37,38,85682,681,16,25779,No
21,36,62678,623,15,20087,No
39,31,78648,560,4,10950,Yes
24,37,90000,598,5,8363,No
20,48,90000,680,13,25240,No
12,38,90000,716,8,23333,No
28,46,90000,694,11,12190,No
32,21,63438,560,3,5000,Yes
30,40,74658,614,7,9421,No
18,24,64817,590,2,5000,Yes
19,40,90000,613,11,12325,No
28,28,81690,598,1,5000,Yes
31,26,69137,584,1,16820,Yes
32,42,90000,652,12,12763,No
30,25,77558,714,9,10299,No
26,44,90000,703,13,14144,No
7,34,90000,706,16,13816,No
9,41,90000,690,14,22775,No
33,29,59827,582,2,10829,Yes
10,26,72296,678,10,16060,No
37,34,87071,715,4,10682,No
39,28,77534,682,15,17455,No
27,26,51083,583,5,5207,Yes
34,30,89223,595,6,9463,No
28,28,65360,587,3,10879,Yes
37,23,76272,592,6,10093,No
27,26,61396,605,3,5000,Yes
16,42,90000,681,8,13700,No
11,23,74248,592,7,11584,Yes
28,47,90000,696,10,17266,No
9,25,74501,560,2,5000,Yes
36,45,88978,704,14,12567,No
29,24,84960,599,5,19717,Yes
32,34,80997,694,6,14896,No
35,26,52795,599,4,8796,Yes
8,34,90000,648,4,18597,No
10,34,54698,560,1,5000,Yes
21,42,90000,699,6,17945,No
29,22,57349,605,1,6237,Yes
10,37,71283,610,1,7126,No
12,28,64196,573,8,11098,Yes
32,23,73526,599,3,5573,Yes
31,30,90000,711,13,12234,No
3,25,48098,560,3,13860,Yes
30,39,90000,716,10,12190,No
27,45,73722,630,12,10566,No
24,36,90000,721,5,19614,No
14,26,82440,576,4,8293,Yes
42,21,55172,618,3,6873,Yes
12,25,80184,582,2,5846,Yes
33,44,85375,705,7,22217,No
10,22,79190,560,7,10789,Yes
11,33,79923,595,3,5958,Yes
7,38,75397,678,5,12245,No
24,21,65935,566,3,5000,Yes
19,25,67865,622,5,7834,Yes
11,33,90000,578,5,9906,Yes
27,23,89119,622,9,5000,Yes
37,35,90000,678,15,18733,No
14,37,90000,695,12,21305,No
32,22,70799,581,4,14838,Yes
5,24,69553,591,3,5000,Yes
30,24,86127,692,14,10898,No
26,40,81147,725,7,14877,No
28,26,90000,670,5,15178,No
30,42,78162,711,6,10430,No
33,26,77756,622,4,7146,Yes
17,28,67244,568,6,5000,Yes
21,29,84320,622,5,6538,Yes
6,48,90000,714,13,20365,No
12,44,90000,698,13,15272,No
11,39,90000,676,15,11969,No
6,36,90000,689,10,17759,No
12,29,79757,560,2,5000,Yes
16,22,85820,593,8,5000,Yes
3,41,90000,689,13,24423,No
38,48,90000,697,10,22544,No
37,25,61366,560,4,5000,Yes
2,48,85759,695,9,17471,No
7,35,83669,697,14,24948,No
36,40,90000,702,15,7778,No
20,22,40045,568,3,8651,Yes
25,37,90000,713,12,12389,No
46,25,72564,599,2,6037,Yes
32,29,64629,572,2,5000,Yes
42,24,59132,560,5,5000,Yes
40,29,87352,638,2,11574,Yes
38,40,86297,719,14,11599,No
25,42,90000,706,1,9113,No
30,45,90000,710,16,23580,No
12,48,90000,591,8,15615,No
1,45,90000,691,9,10354,No
18,30,80630,589,2,5000,Yes
40,24,43212,608,2,6359,Yes
1,41,84563,704,8,18947,No
2,40,69284,672,12,13183,No
22,24,69305,560,6,13453,Yes
16,29,90000,606,6,13630,Yes
35,25,60406,624,1,10793,Yes
11,29,90000,612,4,18088,No
10,26,69578,620,5,17550,Yes
32,46,90000,718,7,17473,No
40,24,53504,608,4,16332,Yes
36,44,90000,643,12,13602,No
32,33,88201,700,9,21165,No
23,46,90000,604,6,16465,No
28,48,90000,710,14,20877,No
29,24,83372,685,11,18195,No
31,39,90000,704,14,23678,No
1,33,90000,700,7,14222,No
35,31,81408,700,3,20411,No
30,34,90000,728,16,25342,No
40,26,69171,740,12,13961,No
29,45,82598,689,11,15265,No
37,31,90000,620,4,12502,Yes
29,28,63472,643,5,12754,Yes
34,34,90000,713,13,12392,No
32,30,85186,703,13,16008,No
18,24,79918,632,4,11560,No
35,46,88246,720,14,21716,No
12,21,39038,569,1,8892,Yes
9,45,90000,721,11,22243,No
25,42,89554,703,16,17255,No
12,44,90000,696,6,26233,No
32,34,90000,700,7,7583,No
31,21,90000,705,16,9153,No
35,29,67293,627,4,10632,No
2,48,90000,670,9,15092,No
10,37,81372,697,9,18041,No
33,28,60252,581,4,11092,Yes
17,36,73269,638,10,10456,Yes
1,39,87842,621,13,19659,No
10,35,83459,680,4,20127,No
13,30,88526,573,7,5936,Yes
40,45,90000,677,9,18854,No
20,28,90000,636,3,9198,No
19,27,59972,567,3,5000,Yes
29,25,63626,562,6,5000,Yes
39,29,86891,560,5,13837,Yes
29,45,85817,690,13,11686,No
11,29,60948,585,4,5000,Yes
24,22,65326,572,6,5000,Yes
31,27,90000,634,7,14508,No
4,27,68026,598,2,6482,Yes
17,24,74393,618,6,5000,Yes
44,48,81584,691,4,10619,No
21,30,58423,560,2,5000,Yes
35,39,85748,591,13,19465,No
46,47,88660,707,13,16713,No
3,23,59286,560,1,7041,Yes
15,43,89105,680,4,5000,No
9,21,87982,592,6,16801,No
32,33,86724,619,8,11014,No
33,38,80608,620,11,17350,No
32,39,76811,681,4,18092,No
36,25,74737,564,5,13229,Yes
40,23,75575,601,2,5089,Yes
39,36,90000,692,10,7775,No
7,25,79029,560,3,12693,Yes
13,27,90000,593,4,5000,Yes
30,22,65602,583,3,7963,Yes
7,40,77796,689,15,13457,No
17,32,81176,638,14,5251,No
21,35,90000,717,13,8979,No
1,46,90000,699,4,20990,No
29,48,90000,689,10,17225,No
11,31,76693,679,9,20406,No
17,27,73934,590,2,5000,Yes
16,24,75735,560,2,5144,Yes
37,48,90000,698,16,17746,No
29,41,90000,709,16,11821,No
31,22,46346,584,1,5000,Yes
33,40,90000,590,11,11662,No
33,27,67541,600,4,5000,Yes
11,44,90000,710,15,15839,No
38,42,90000,727,9,16443,No
16,33,90000,738,8,14902,No
23,46,90000,700,13,14659,No
28,36,85019,708,11,18880,No
4,38,87460,683,8,17263,No
10,28,57048,587,7,10654,Yes
25,39,85482,700,7,22445,No
35,34,75682,582,1,8911,Yes
26,43,90000,695,11,17715,No
44,30,69945,638,2,9554,Yes
30,26,59697,598,1,8981,Yes
1,39,90000,696,16,20791,No
12,27,73445,581,1,5000,Yes
9,48,90000,679,13,17172,No
8,28,78740,582,2,8419,Yes
4,25,71364,605,2,8726,Yes
26,32,84583,619,15,15711,No
1,36,90000,628,9,9865,No
4,27,67311,651,7,14431,Yes
1,47,90000,683,15,26262,No
1,42,90000,700,6,15327,No
36,27,88780,671,7,17094,No
36,26,45907,602,2,8026,Yes
31,41,87257,722,2,16402,No
40,31,77943,660,1,5420,Yes
36,33,42655,626,5,5910,Yes
45,32,88619,609,7,7718,Yes
4,38,90000,638,6,14051,No
11,43,90000,675,16,27531,No
34,48,90000,702,8,24068,No
10,36,90000,612,15,13208,No
28,34,73694,595,13,19054,No
10,43,90000,686,7,14570,No
25,45,90000,624,16,11284,No
19,25,59710,565,6,7594,Yes
3,24,62281,569,2,5000,Yes
28,48,83172,689,12,22054,No
35,27,44238,610,3,6748,Yes
4,46,90000,710,4,10379,No
1,48,90000,691,8,23061,No
14,25,57878,608,3,5000,Yes
6,44,90000,731,12,21850,No
34,23,89469,707,7,17275,No
32,23,53892,572,3,5000,Yes
30,21,28000,581,7,9944,Yes
39,32,81802,615,1,7206,Yes
20,42,75540,717,8,23083,No
37,29,79371,581,5,10395,Yes
11,45,90000,683,5,14309,No
17,24,78423,597,4,5000,Yes
19,46,90000,690,6,21566,No
26,38,88326,699,9,14663,No
32,28,90000,687,15,23835,No
13,45,90000,712,16,24931,No
2,31,63072,618,9,5000,No
43,45,90000,697,13,21737,No
14,24,58488,578,5,5000,Yes
34,37,66119,584,4,8605,Yes
7,25,74391,576,2,5000,Yes
28,48,84828,643,7,22072,No
46,22,60831,596,4,5000,Yes
6,31,68553,560,5,9468,Yes
38,26,57391,560,3,5000,Yes
7,32,77013,561,2,5000,Yes
11,28,63610,607,3,13045,Yes
31,48,87822,690,3,17137,No
12,45,90000,633,16,24186,No
37,28,43686,560,2,6743,Yes
12,42,90000,701,11,14868,No
13,22,74685,635,4,14694,Yes
46,23,67538,568,2,8665,Yes
3,28,90000,644,11,15328,Yes
19,30,55290,560,6,5673,Yes
32,42,90000,696,8,15314,No
13,42,82624,690,15,16773,No
33,48,90000,695,13,14179,No
43,23,44715,562,7,9469,Yes
31,48,90000,678,16,24237,No
19,28,69986,566,4,5000,Yes
16,24,57371,620,6,7597,Yes
11,25,63186,575,1,5000,Yes
14,29,68765,595,4,7847,Yes
12,48,83917,708,6,20184,No
13,29,36556,588,1,7684,Yes
32,22,65146,560,5,8023,Yes
8,21,50518,597,5,5000,Yes
37,47,75243,724,11,13410,No
7,44,90000,673,9,16154,No
1,26,90000,686,12,13232,No
32,30,88046,596,8,10742,No
16,24,42178,560,4,5000,Yes
26,46,90000,672,15,19046,No
11,22,78787,560,1,6061,Yes
12,25,48653,560,1,7676,Yes
6,37,85939,602,5,19219,No
31,21,54475,624,1,5000,Yes
12,30,35423,585,3,6518,Yes
38,31,71971,602,3,7553,Yes
6,28,76362,576,1,10792,Yes
15,24,79337,599,5,11181,Yes
2,45,90000,716,16,17859,No
40,23,77882,565,4,5000,Yes
14,32,80594,664,6,12127,No
12,34,61773,560,10,13926,No
33,31,55333,605,5,12177,Yes
14,25,71913,708,8,16929,No
33,46,90000,709,10,21582,No
35,35,89958,616,7,20057,No
9,24,71222,560,8,5000,Yes
17,26,57329,573,8,14519,Yes
29,31,72682,569,4,14313,Yes
33,42,88587,716,3,13648,No
15,39,90000,714,7,13777,No
33,23,66011,560,3,5110,Yes
5,40,90000,706,15,14874,No
41,45,90000,689,16,13595,No
1,30,90000,674,5,19113,No
42,43,90000,719,15,17726,No
31,26,63298,596,2,5000,Yes
21,40,89747,679,8,18965,No
37,31,74770,584,2,5155,Yes
26,24,53142,560,1,5000,Yes
8,46,90000,697,8,10588,No
38,26,58951,560,3,5000,Yes
25,28,84707,724,10,11891,No
17,39,90000,607,16,21872,No
25,27,68009,624,4,7563,Yes
30,31,70388,620,9,14402,No
27,30,70542,642,3,17786,No
12,23,48986,613,3,9207,Yes
40,21,59733,616,5,5000,Yes
31,41,90000,710,6,13478,No
30,24,61065,566,1,5785,Yes
33,25,70301,610,7,10569,Yes
37,34,90000,702,11,10425,No
12,36,90000,697,13,17928,No
39,24,59053,612,1,5330,Yes
5,27,69243,601,4,6577,Yes
11,23,73797,624,5,7484,Yes
32,34,79070,715,10,12914,No
43,22,61558,588,2,5000,Yes
30,46,82180,688,13,22504,No
19,25,66577,560,1,5000,Yes
13,44,88010,632,6,18644,No
31,30,86921,700,6,28704,No
46,28,69348,561,4,5000,Yes
5,27,62975,592,3,6656,Yes
37,25,61657,599,5,5000,Yes
4,26,80827,570,3,11762,Yes
17,29,70805,593,4,8401,No
21,26,36924,576,2,5674,Yes
8,45,90000,689,9,26458,No
25,34,90000,713,13,12687,No
5,25,60516,605,1,8010,Yes
1,44,77339,697,12,16706,No
33,35,88730,672,9,10488,No
31,48,90000,737,5,15490,No
36,28,79648,604,12,14062,No
20,26,67461,604,5,8933,Yes
10,24,77652,590,1,15167,Yes
12,38,79962,674,9,17729,No
29,39,90000,631,7,8840,No
1,26,81240,619,4,11301,Yes
7,33,90000,710,7,13641,No
26,29,71150,590,7,6953,Yes
18,25,52417,581,5,5000,Yes
28,33,90000,720,16,16429,No
40,29,90000,671,13,17801,No
32,38,90000,702,15,17800,No
38,43,90000,651,13,20438,No
43,38,76017,666,6,15412,No
33,47,90000,699,16,20931,No
34,48,90000,703,16,12255,No
33,24,67249,607,5,6261,Yes
39,31,89453,653,4,12542,Yes
46,23,60680,577,6,5000,Yes
23,25,70789,671,6,21227,No
6,31,75364,615,6,5000,Yes
1,43,83473,694,16,20288,No
37,44,90000,615,9,17025,No
15,28,56040,612,8,13601,No
36,48,90000,681,10,21054,No
32,25,60755,565,4,9037,Yes
31,38,90000,683,9,11357,No
26,30,48604,560,4,10693,Yes
3,25,77074,577,1,12452,Yes
39,29,75491,571,5,6818,Yes
28,41,90000,620,7,16067,No
39,28,75004,605,3,12957,Yes
35,31,70929,657,3,5000,Yes
11,39,74366,646,6,15899,No
35,31,90000,718,10,22419,No
37,48,90000,717,8,28039,No
29,24,68211,570,4,12887,Yes
41,27,67475,581,3,5809,Yes
13,32,90000,625,1,15111,No
9,39,90000,696,10,11025,No
39,29,74189,608,3,5190,Yes
15,23,48219,574,5,7417,Yes
4,23,52134,619,2,13574,Yes
32,45,77095,594,1,11421,No
44,28,59887,582,6,9997,Yes
41,24,76870,570,1,5000,Yes
34,26,86218,618,7,5803,Yes
4,24,64317,590,1,8962,Yes
1,48,90000,726,15,19844,No
12,25,78842,573,7,6169,Yes
1,32,90000,715,12,17721,No
28,21,51309,570,6,5000,Yes
15,47,90000,692,14,29000,No
26,27,56728,589,3,7360,Yes
42,29,74802,582,4,9347,Yes
38,30,86863,710,7,14772,No
11,26,64531,560,3,5992,Yes
34,25,43708,580,5,5703,Yes
32,34,90000,663,12,9817,No
17,31,86634,584,6,13528,Yes
39,30,58232,684,4,7001,Yes
14,22,51879,640,3,11855,Yes
2,34,90000,626,11,5915,No
44,29,75921,617,1,5379,Yes
30,28,62212,570,1,5000,Yes
5,27,61426,578,1,13726,Yes
8,31,90000,647,7,15237,No
39,26,52995,589,3,8392,Yes
24,48,90000,710,10,16462,No
7,30,80766,585,2,5614,Yes
7,48,90000,709,14,14552,No
27,21,48900,599,2,5000,Yes
18,24,55660,565,5,12840,Yes
29,23,67698,560,7,11279,Yes
6,30,79597,560,3,5000,Yes
42,36,88591,626,15,10549,No
1,37,90000,590,7,15070,No
27,22,89240,593,2,5984,Yes
23,36,78796,689,7,22093,No
37,37,90000,698,8,19098,No
17,26,56363,665,3,8373,Yes
1,35,90000,700,13,9491,No
35,41,77852,694,11,22400,No
34,44,90000,698,5,18460,No
16,39,88372,661,10,20201,No
39,24,82352,584,5,7770,Yes
33,21,47986,571,2,5000,Yes
7,22,40649,592,4,5408,Yes
22,39,90000,705,15,12860,No
28,42,90000,628,13,29000,No
4,22,64093,560,6,5000,Yes
39,27,75606,585,1,5000,Yes
28,27,43209,574,5,8273,Yes
24,29,73729,598,2,5120,Yes
11,35,90000,682,15,23984,No
26,39,90000,673,11,11012,No
17,39,74410,681,14,18520,No
39,25,73248,560,2,5000,Yes
36,44,90000,694,16,17520,No
13,28,72100,592,2,9178,Yes
1,42,90000,668,12,25902,No
38,27,90000,618,4,8117,Yes
34,28,63289,585,5,10983,Yes
30,45,90000,702,12,17752,No
6,30,83068,594,10,15273,Yes
20,39,90000,614,5,13023,No
35,29,73586,616,5,6212,Yes
1,29,78726,693,4,8525,No
31,44,90000,692,16,28608,No
24,31,90000,685,13,19873,No
14,35,82254,707,9,13157,No
28,25,61451,568,4,5000,Yes
5,39,90000,705,14,23503,No
9,30,77543,610,13,10436,Yes
37,26,62635,618,5,7348,Yes
18,43,89120,685,14,21926,No
20,29,80542,630,3,9386,Yes
35,21,68027,632,5,6201,Yes
5,29,83489,617,4,7972,Yes
16,30,87549,600,16,7575,No
23,25,70307,593,4,5000,Yes
31,22,74257,601,4,9464,Yes
34,29,77051,598,5,11795,Yes
22,46,82914,709,14,24980,No
35,24,64162,592,1,5000,Yes
34,28,76710,602,5,6325,Yes
6,33,90000,607,5,11188,No
1,36,90000,625,14,9772,No
28,40,88280,708,9,15378,No
42,42,90000,644,10,26866,No
25,32,90000,606,6,11001,No
29,44,89570,708,15,26775,No
38,43,90000,704,10,17272,No
18,24,71891,577,4,5000,Yes
38,29,42895,560,2,5665,Yes
31,34,90000,601,1,7072,No
19,35,88079,705,9,9745,No
35,28,72105,618,2,5085,Yes
40,43,84445,700,15,24199,No
6,26,76723,560,1,5000,Yes
34,45,90000,702,7,14161,No
33,40,90000,705,13,14293,No
37,31,90000,619,4,12149,No
14,24,55740,560,1,5000,Yes
25,24,51554,586,1,9446,Yes
23,23,70837,580,4,5000,Yes
33,41,87531,653,10,18069,No
31,32,90000,707,12,17411,No
8,31,64885,611,4,5000,Yes
38,36,90000,643,6,10806,No
12,46,90000,723,16,26995,No
36,31,90000,599,3,9389,No
10,26,65225,574,2,5000,Yes
27,41,89966,693,10,20698,No
3,34,87501,711,15,22133,No
37,21,60888,600,7,5000,Yes
38,48,85426,689,6,13906,No
34,21,69779,577,5,5000,Yes
32,29,87916,560,3,10115,Yes
31,29,63149,678,10,16235,No
15,25,66521,572,4,5000,Yes
37,21,46787,560,4,5000,Yes
